Author,Title,Abstract
RODRIGO CANALES,When salespeople manage customer relationships: multidimensional incentives and private information,"At many firms, incentivized salespeople with private information about customers are responsible for customer relationship management. Although incentives motivate sales performance, private information can induce moral hazard by salespeople to gain compensation at the expense of the firm. The authors investigate the sales performance–moral hazard trade-off in response to multidimensional performance (acquisition and maintenance) incentives in the presence of private information. Using unique panel data on customer loan acquisition and repayments linked to salespeople from a microfinance bank, the authors detect evidence of salesperson private information. Acquisition incentives induce salesperson moral hazard, leading to adverse customer selection, but maintenance incentives moderate it as salespeople recognize the negative effects of acquiring low-quality customers on future payoffs. Critically, without the moderating effect of maintenance incentives, the adverse selection effect of acquisition incentives overwhelms the sales-enhancing effects, clarifying the importance of multidimensional incentives for customer relationship management. Reducing private information (through job transfers) hurts customer maintenance but has greater impact on productivity by moderating adverse selection at acquisition. This article also contributes to the recent literature on detecting and disentangling customer adverse selection and customer moral hazard (defaults) with a new identification strategy that exploits the time-varying effects of salesperson incentives."
RODRIGO CANALES,The stranger as friend: loan officers and positive deviance in microfinance,"This chapter explores positive deviance in the context of microfinance. Some loan officers frequently bend or choose not to enforce written rules in an effort to better address client needs, while others enforce the rules strictly. These differences in enforcement styles are analyzed to explore the structural characteristics that generate and sustain rule-bending behavior. In microfinance, the pressures to standardize and automate lending decisions challenge loan officers’ ability to manage clients because context uncertainty cannot be fully captured by centralized policies. The chapter explores the structural conditions that lead to positive deviance with productive outcomes by the organization’s own criteria. The paper unveils two inherent tensions in microfinance. First, increased efforts to centralize and enforce policies in fact only increase the pressures for loan officers to work outside the organizations’ regulations. Second, this type of positive deviance keeps the organizations connected to their core, social missions."
RODRIGO CANALES,Do startup employees earn more in the long run?,"Evaluating the attractiveness of startup employment requires an understanding of both what startups pay and the implications of these jobs for earnings trajectories. Analyzing Danish registry data, we find that employees hired by startups earn roughly 17% less over the next 10 years than those hired by large, established firms. About half of this earnings differential stems from sorting—from the fact that startup employees have less human capital. Long-term earnings also vary depending on when individuals are hired. Although the earliest employees of startups suffer an earnings penalty, those hired by already-successful startups earn a small premium. Two factors appear to account for the earnings penalties for the early employees: Startups fail at high rates, creating costly spells of unemployment for their (former) employees. Job-mobility patterns also diverge: After being employed by a small startup, individuals rarely return to the large employers that pay more."
RODRIGO CANALES,A darker side to decentralized banks: market power and credit rationing in SME lending,"We use loan-level data to study how the organizational structure of banks impacts small business lending. We find that decentralized banks — where branch managers have greater autonomy over lending decisions — give larger loans to small firms and those with ""soft information"". However, decentralized banks are also more responsive to their own competitive environment. They are more likely to expand credit when faced with competition but also cherry pick customers and restrict credit when they have market power. This ""darker side"" to decentralized banks in concentrated markets highlights that the level of local banking competition is key to determining which organizational structure provides better lending terms for small businesses."
RODRIGO CANALES,Evidence in practice: how structural and programmatic scaffolds enable knowledge transfer in international development,"This inductive study of eight international development interventions across four countries analyzes the mechanisms that enable effective integration of evidence in practice, as an enduring challenge of learning and coordination across occupational and organizational boundaries. We identify how a set of critical, complementary structural and programmatic scaffolding practices, jointly provided a shared architecture for actors across organizations and communities of practice to collaborate and learn within the uncertainty and complexity inherent in the international development context. Scaffolding practices offered modular, temporary counter-balancing stabilizing and extending support that enabled the unusual and counter normative behaviors and mindsets required for continuous learning and adaptive coordination. Through 226 in-depth interviews with a range of international development experts, including practitioners engaged in eight matched interventions in India, Mexico, South Africa, and Ghana,we identified and analyzed the mechanisms that explain the varying degrees of effectiveness with which rigorous evidence was integrated in each case. Our findings have implications for interorganizational innovation and collaboration under conditions of complexity and uncertainty, as well as the dynamic interactions between individuals, their organizations, and their communities of practice when attempting to bring about systemic change."
ASSEN G MARINTCHEV,Position of eukaryotic translation initiation factor eIF1A on the 40S ribosomal subunit mapped by directed hydroxyl radical probing,"The universally conserved eukaryotic initiation factor (eIF), eIF1A, plays multiple roles throughout initiation: it stimulates eIF2/GTP/Met-tRNAiMet attachment to 40S ribosomal subunits, scanning, start codon selection and subunit joining. Its bacterial ortholog IF1 consists of an oligonucleotide/oligosaccharide-binding (OB) domain, whereas eIF1A additionally contains a helical subdomain, N-terminal tail (NTT) and C-terminal tail (CTT). The NTT and CTT both enhance ribosomal recruitment of eIF2/GTP/Met-tRNAiMet, but have opposite effects on the stringency of start codon selection: the CTT increases, whereas the NTT decreases it. Here, we determined the position of eIF1A on the 40S subunit by directed hydroxyl radical cleavage. eIF1A's OB domain binds in the A site, similar to IF1, whereas the helical subdomain contacts the head, forming a bridge over the mRNA channel. The NTT and CTT both thread under Met-tRNAiMet reaching into the P-site. The NTT threads closer to the mRNA channel. In the proposed model, the NTT does not clash with either mRNA or Met-tRNAiMet, consistent with its suggested role in promoting the 'closed' conformation of ribosomal complexes upon start codon recognition. In contrast, eIF1A-CTT appears to interfere with the P-site tRNA-head interaction in the 'closed' complex and is likely ejected from the P-site upon start codon recognition."
ANGELA H JACKSON,Internal Medicine Residency Training for Unhealthy Alcohol and Other Drug Use: Recommendations for Curriculum Design,"BACKGROUND: Unhealthy substance use is the spectrum from use that risks harm, to use associated with problems, to the diagnosable conditions of substance abuse and dependence, often referred to as substance abuse disorders. Despite the prevalence and impact of unhealthy substance use, medical education in this area remains lacking, not providing physicians with the necessary expertise to effectively address one of the most common and costly health conditions. Medical educators have begun to address the need for physician training in unhealthy substance use, and formal curricula have been developed and evaluated, though broad integration into busy residency curricula remains a challenge. DISCUSSION: We review the development of unhealthy substance use related competencies, and describe a curriculum in unhealthy substance use that integrates these competencies into internal medicine resident physician training. We outline strategies to facilitate adoption of such curricula by the residency programs. This paper provides an outline for the actual implementation of the curriculum within the structure of a training program, with examples using common teaching venues. We describe and link the content to the core competencies mandated by the Accreditation Council for Graduate Medical Education, the formal accrediting body for residency training programs in the United States. Specific topics are recommended, with suggestions on how to integrate such teaching into existing internal medicine residency training program curricula. SUMMARY: Given the burden of disease and effective interventions available that can be delivered by internal medicine physicians, teaching about unhealthy substance use must be incorporated into internal medicine residency training, and can be done within existing teaching venues."
ANGELA H JACKSON,"Cosmology intertwined: a review of the particle physics, astrophysics, and cosmology associated with the cosmological tensions and anomalies",
ANGELA H JACKSON,The long-baseline neutrino experiment: exploring fundamental symmetries of the universe,"The preponderance of matter over antimatter in the early Universe, the dynamics of the supernova bursts that produced the heavy elements necessary for life and whether protons eventually decay --- these mysteries at the forefront of particle physics and astrophysics are key to understanding the early evolution of our Universe, its current state and its eventual fate. The Long-Baseline Neutrino Experiment (LBNE) represents an extensively developed plan for a world-class experiment dedicated to addressing these questions. LBNE is conceived around three central components: (1) a new, high-intensity neutrino source generated from a megawatt-class proton accelerator at Fermi National Accelerator Laboratory, (2) a near neutrino detector just downstream of the source, and (3) a massive liquid argon time-projection chamber deployed as a far detector deep underground at the Sanford Underground Research Facility. This facility, located at the site of the former Homestake Mine in Lead, South Dakota, is approximately 1,300 km from the neutrino source at Fermilab -- a distance (baseline) that delivers optimal sensitivity to neutrino charge-parity symmetry violation and mass ordering effects. This ambitious yet cost-effective design incorporates scalability and flexibility and can accommodate a variety of upgrades and contributions. With its exceptional combination of experimental configuration, technical capabilities, and potential for transformative discoveries, LBNE promises to be a vital facility for the field of particle physics worldwide, providing physicists from around the globe with opportunities to collaborate in a twenty to thirty year program of exciting science. In this document we provide a comprehensive overview of LBNE's scientific objectives, its place in the landscape of neutrino physics worldwide, the technologies it will incorporate and the capabilities it will possess."
EMILY WHITING,Data for autonomous discovery of tough structures,"This dataset contains the experimental data for the research paper ""Autonomous Discovery of Tough Structure"" which is currently in the peer review process. The document contains the record of physical experiments performed over the course of two years by a self-driving lab called the BEAR (Bayesian Autonomous Experimental Researcher). The BEAR consists of five FFF 3d printers, a scale, and an Instron. A UR5 robot arm moves samples for testing."
EMILY WHITING,"Data for ""designing lattices for impact protection using transfer learning""",
