Author,Title,Abstract
ADIL NAJAM,"Africa 2060: good news from Africa, April 16, 2010","This report provides commentary reflecting upon and information pertaining to the substance of the conference. An introductory overview looks at the major issues discussed at the event, which are placed within the larger literature on Africa’s future. Four short essays prepared by Boston University graduate students provide readers with more specific reflections and highlights of each conference session and the main issues discussed by panelists. The final section presents analyses of key trends and projections related to societal, economic, and governance issues for Africa and a commentary on what this information tells us about the drivers that will determine the continent’s future."
ADIL NAJAM,"Development that works, March 31, 2011","The theme and the title of the conference—”Development That Works”—stemmed from the conference organizers’ desire to explore, from a groundlevel perspective, what programs, policies, and practices have been shown—or appear to have the potential—to achieve sustained, long-term advances in development in various parts of the world. The intent was not to simply showcase “success stories,” but rather to explore the larger concepts and opportunities that have resulted in development that is meaningful and sustainable over time. The presentations and discussions focused on critical assessments of why and how some programs take hold, and what can be learned from them. From the influence of global economic structures to innovative private sector programs and the need to evaluate development programs at the “granular” level, the expert panelists provided well-informed and often provocative perspectives on what is and isn’t working in development programs today, and what could work better in the future."
ADIL NAJAM,Beyond Rio+20: governance for a green economy,"As an intellectual contribution to the preparations for the 2012 United Nations Conference on Sustainable Development (UNCSD, a.k.a. Rio +20), the Boston University Frederick S. Pardee Center for the Study of the Longer-Range Future convened a task force of experts to discuss the role of institutions in the actualization of a green economy in the context of sustainable development. A stellar group of experts from academia, government and civil society convened at the Pardee Center and were asked to outline ideas about what the world has learned about institutions for sustainable development from the past, and what we can propose about the governance challenges and opportunities for the continuous development of a green economy in the future. The Task Force members were encouraged to think big and think bold. They were asked to be innovative in their ideas, and maybe even a little irreverent and provocative. They were charged specifically NOT to come to consensus about specific recommendations, but to present a variety and diversity of views. This report presents their thoughts and ideas."
ADIL NAJAM,Connecting the dots: information visualization and text analysis of the Searchlight Project newsletters,"This report is the product of the Pardee Center’s work on the Searchlight:Visualization and Analysis of Trend Data project sponsored by the Rockefeller Foundation. Part of a larger effort to analyze and disseminate on-the-ground information about important societal trends as reported in a large number of regional newsletters developed in Asia, Africa and the Americas specifically for the Foundation, the Pardee Center developed sophisticated methods to systematically review, categorize, analyze, visualize, and draw conclusions from the information in the newsletters."
ADIL NAJAM,Rio+20: another world summit?,"This issue explores the possibility of holding a Sustainable World Summit in 2012 and three possible options to support such an event . The paper concludes, “The world may not choose any of our three options as the grand purpose for a 2012 World Sustainability Summit. But whatever goal is chosen for a summit needs to be not only grand, but truly meaningful. If it is, then future generations will remember that event like we remember Stockholm and Rio. If it is not, then another summit is not what the world needs right now.”"
ADIL NAJAM,Rio+20: accountability and implementation as key goals,"Over the past two decades, the Global Environmental Governance (GEG) system has grown and evolved, making much progress in incorporating sustainable development as the central goal of environmental governance, and delivering scores of new international institutions, legal instruments, declarations and financial mechanisms. However, the GEG system lacks the crucial components of accountability and implementation as part of its core operating system. The authors argue that the upcoming Rio + 20 meeting provides the perfect opportunity to help bring about these much needed changes to strengthen the GEG and help achieve its ultimate goals. The authors propose a set of four accountability-enabling mechanisms: 1. Improved metrics and reporting mechanisms. 2. Transparency mechanisms. 3. Compliance mechanisms. 4. Capacity building. The authors also propose a set of four enabling institutional arrangements: 1. Compendium of best (and worst) practices. 2. Registry of commitments. 3. Renewed focus for CSD. 4. A global “Aarhus” instrument."
ADIL NAJAM,Global environmental governance: the challenge of accountability,This issue argues that accountability – or lack thereof- is a fundamental challenge in confronting improved global environmental governance (GEG) and that success must be measured not simply by the vitality of the negotiation process but by the robustness of implementation. States as well as institutions must be judged not by their statements of good intentions but by measurable implementation of their commitments and achievement of goals. The authors provide five reasons for GEG’s culture of unaccountability and seven related ideas for GEG reform.
ADIL NAJAM,"Economic development, human development, and the pursuit of happiness, April 1, 2, and 3, 2004","The conference asks the questions, how can we make sure that the benefits of economic growth flow into health, education, welfare, and other aspects of human development; and what is the relationship between human development and economic development? Speakers and participants discuss the role that culture, legal and political institutions, the UN Developmental Goals, the level of decision-making, and ethics, play in development."
ADIL NAJAM,"Looking ahead: forecasting and planning for the longer-range future, April 1, 2, and 3, 2005","The conference allowed for many highly esteemed scholars and professionals from a broad range of fields to come together to discuss strategies designed for the 21st century and beyond. The speakers and discussants covered a broad range of subjects including: long-term policy analysis, forecasting for business and investment, the National Intelligence Council Global Trends 2020 report, Europe’s transition from the Marshal plan to the EU, forecasting global transitions, foreign policy planning, and forecasting for defense."
ADIL NAJAM,Mapping the complexity of higher education in the developing world,"On October 27 and 28, 2009, a workshop of experts on higher education in developing countries was convened by the Boston University Frederick S. Pardee Center for the Study of the Longer-Range Future. The meeting was supported by a grant from the National Academies Keck Futures Initiative with additional support from the Pardee Center and the Office of the Boston University Provost. The meeting brought together experts in economics, public policy, education, development, university management, and quantitative modeling who had rich experiences across the developing world. These experts offered a variety of conceptual tools with which to look at the particular complexities associated with higher education in developing countries. The meeting was convened by the authors of this paper. This policy brief builds upon and reflects on the discussion at this meeting, but is not a meeting report, per se."
