Author,Title,Abstract
ANA FISZBEIN,Widespread occurrence of hybrid internal-terminal exons in human transcriptomes,"Alternative RNA processing is a major mechanism for diversifying the human transcriptome. Messenger RNA isoform differences are predominantly driven by alternative first exons, cassette internal exons and alternative last exons. Despite the importance of classifying exons to understand isoform structure, there is a lack of tools to look at isoform-specific exon usage using RNA-sequencing data. We recently observed that alternative transcription start sites often arise near annotated internal exons, creating “hybrid” exons that can be used as both first or internal exons. To investigate the creation of hybrid exons, we built the HIT (Hybrid-Internal-Terminal) exon pipeline that systematically classifies exons depending on their isoform-specific usage. Using a combination of junction reads coverage and probabilistic modeling, the HIT index identified thousands of hybrid first-internal and internal-last exons that were previously misclassified. Hybrid exons are enriched in long genes with at least ten internal exons, have longer flanking introns and strong splice sites. The usage of hybrid exons varies considerably across human tissues, but they are predominantly used in brain, testis and colon cells. Notably, genes involved in RNA splicing have the highest fraction of intra-tissue hybrid exons. Further, we found more than 100,000 inter-tissue hybrid exons that changed from internal to terminal exons across tissues. By developing the first method that can classify exons according to their isoform contexts, our findings demonstrate the existence of hybrid exons, expand the repertoire of tissue-specific terminal exons and uncover unexpected complexities of the human transcriptome."
RUBEN DRIES,The MYCN 5' UTR as a therapeutic target in neuroblastoma,"Tumor MYCN amplification is seen in high-risk neuroblastoma, yet direct targeting of this oncogenic transcription factor has been challenging. Here, we take advantage of the dependence of MYCN-amplified neuroblastoma cells on increased protein synthesis to inhibit the activity of eukaryotic translation initiation factor 4A1 (eIF4A1) using an amidino-rocaglate, CMLD012824. Consistent with the role of this RNA helicase in resolving structural barriers in 5' untranslated regions (UTRs), CMLD012824 increased eIF4A1 affinity for polypurine-rich 5' UTRs, including that of the MYCN and associated transcripts with critical roles in cell proliferation. CMLD012824-mediated clamping of eIF4A1 spanned the full lengths of mRNAs, while translational inhibition was mediated through 5' UTR binding in a cap-dependent and -independent manner. Finally, CMLD012824 led to growth inhibition in MYCN-amplified neuroblastoma models without generalized toxicity. Our studies highlight the key role of eIF4A1 in MYCN-amplified neuroblastoma and demonstrate the therapeutic potential of disrupting its function."
EVA GARRETT,Evolution of the primate vomeronasal system: fossil evidence from the Fayum,"Extant primates vary dramatically in the presence and development of the vomeronasal system (VNS), which largely detects social pheromones and anti-predator chemosignals. While the strepsirrhine VNS resembles most mammals, haplorhines either have derived VNS traits with ambiguous effects on vomeronasal function, or have lost the system entirely. While a reduced reliance on vomeronasal olfaction in haplorhines is inferred, few studies have addressed VNS variation in extinct primates to examine the timing and context of the loss of this system. We have previously identified an osteological correlate of the vomeronasal organ, the vomeronasal groove (VNG), which allows us to implement a paleontological approach toward understanding primate VNS evolution. We investigated cranial material of fossil primates for the presence or absence of a VNG using microCT scans. The VNG was present in a broad temporal and taxonomic range of primate fossils, including plesiadapiforms, adapiforms, omomyoids, crown platyrrhines, stem anthropoids, and stem catarrhines. Notably the VNG persists as a relatively small gutter in the stem catarrhine Aegyptopithecus zeuxis, but is absent in advanced stem catarrhine Saadanius hijazensis, and the Miocene cercopithecoid Victoriapithecus. We estimate that VNG loss occurred between 30-28ma, based on our sample. These dates complement estimates for the accelerated rate of deleterious mutations, and loss of function, in the TRPC2 pheromone transduction gene in catarrhines between 40-25ma. Further exploration of the VNG in fossil primates will lead to a more thorough understanding of past sensory environments and their ultimate effects on sensory specializations of extant lineages."
EVA GARRETT,Fruit scent and observer colour vision shape food-selection strategies in wild capuchin monkeys,"The senses play critical roles in helping animals evaluate foods, including fruits that can change both in colour and scent during ripening to attract frugivores. Although numerous studies have assessed the impact of colour on fruit selection, comparatively little is known about fruit scent and how olfactory and visual data are integrated during foraging. We combine 25 months of behavioural data on 75 wild, white-faced capuchins (Cebus imitator) with measurements of fruit colours and scents from 18 dietary plant species. We show that frequency of fruit-directed olfactory behaviour is positively correlated with increases in the volume of fruit odours produced during ripening. Monkeys with red-green colour blindness sniffed fruits more often, indicating that increased reliance on olfaction is a behavioural strategy that mitigates decreased capacity to detect red-green colour contrast. These results demonstrate a complex interaction among fruit traits, sensory capacities and foraging strategies, which help explain variation in primate behaviour."
EVA GARRETT,Effects of agricultural transitions on the evolution of human sensory systems,"The transition from hunting and gathering to agricultural food production, beginning around 10,000 years ago, represents a dramatic shift in how people acquire and process food. These shifts to agriculture resulted in major changes in human environments and biology. For example, previous studies have identified selective effects of agriculture in many genes, such as those involved in lactose and starch metabolism, as well as immune function. In other primates and non-primate mammals, sensory systems are often tightly linked to foraging strategy, such that dietary changes are associated with changes in the genes involved in taste, olfaction, and color vision. In this study, we investigated how the shift to agriculture, a major change in foraging strategy, influenced the evolution of human sensory genes. We used targeted capture methods to sequence 898 genes (encoding taste receptors, olfactory receptors, and cone photopigments) and 71 neutral intergenic regions in 165 individuals from two distinct geographic regions: Uganda and the Philippines. In each region, we sampled two hunter-gatherer populations and a neighboring agricultural population, thus allowing us to compare sensory genes between hunter-gatherer and paired agricultural populations across two independent transitions to agriculture. We employed allele frequency-based tests (FST, population branch statistics, and bayenv2) to identify candidate functional variants across sensory genes that may reflect subsistence strategy adaptations. Preliminary results suggest that subsistence strategy influenced subtle shifts of allele frequencies in functional variants in at least two bitter taste receptor genes and thirteen olfactory receptor genes in populations from both Uganda and the Philippines."
EVA GARRETT,Human subsistence and signatures of selection on chemosensory genes,"Chemosensation (olfaction, taste) is essential for detecting and assessing foods, such that dietary shifts elicit evolutionary changes in vertebrate chemosensory genes. The transition from hunting and gathering to agriculture dramatically altered how humans acquire food. Recent genetic and linguistic studies suggest agriculture may have precipitated olfactory degeneration. Here, we explore the effects of subsistence behaviors on olfactory (OR) and taste (TASR) receptor genes among rainforest foragers and neighboring agriculturalists in Africa and Southeast Asia. We analyze 378 functional OR and 26 functional TASR genes in 133 individuals across populations in Uganda (Twa, Sua, BaKiga) and the Philippines (Agta, Mamanwa, Manobo) with differing subsistence histories. We find no evidence of relaxed selection on chemosensory genes in agricultural populations. However, we identify subsistence-related signatures of local adaptation on chemosensory genes within each geographic region. Our results highlight the importance of culture, subsistence economy, and drift in human chemosensory perception."
CHRISTINA LAM,"The L 98-59 system: three transiting, terrestrial-size planets orbiting a nearby M dwarf","We report the Transiting Exoplanet Survey Satellite (TESS) discovery of three terrestrial-size planets transiting L 98-59 (TOI-175, TIC 307210830)—a bright M dwarf at a distance of 10.6 pc. Using the Gaia-measured distance and broadband photometry, we find that the host star is an M3 dwarf. Combined with the TESS transits from three sectors, the corresponding stellar parameters yield planet radii ranging from 0.8 R ⊕ to 1.6 R ⊕. All three planets have short orbital periods, ranging from 2.25 to 7.45 days with the outer pair just wide of a 2:1 period resonance. Diagnostic tests produced by the TESS Data Validation Report and the vetting package DAVE rule out common false-positive sources. These analyses, along with dedicated follow-up and the multiplicity of the system, lend confidence that the observed signals are caused by planets transiting L 98-59 and are not associated with other sources in the field. The L 98-59 system is interesting for a number of reasons: the host star is bright (V = 11.7 mag, K = 7.1 mag) and the planets are prime targets for further follow-up observations including precision radial-velocity mass measurements and future transit spectroscopy with the James Webb Space Telescope; the near-resonant configuration makes the system a laboratory to study planetary system dynamical evolution; and three planets of relatively similar size in the same system present an opportunity to study terrestrial planets where other variables (age, metallicity, etc.) can be held constant. L 98-59 will be observed in four more TESS sectors, which will provide a wealth of information on the three currently known planets and have the potential to reveal additional planets in the system."
LAURINA ZHANG,Gender orientation and segregation of ideas: #MeToo's impact in Hollywood,"Does the #MeToo movement affect the gender orientation of ideas and who develops which types of ideas? We examine these questions in the context of Hollywood. Since #MeToo affected the entire industry, we use variation in whether producers had past collaborations with Harvey Weinstein to discern the movement’s impact. We find that relative to non-associated producers, there is, on average, no significant change in the likelihood of developing female-protagonist stories by Weinstein-associated producers after #MeToo compared to before, despite the fact that they now work substantially more with female writers. This is because, among projects by Weinstein-associated producers, female writers are significantly less likely than male writers to work on female-protagonist stories after #MeToo. Moreover, compared to their non-associated counterparts, the depiction of female protagonists by Weinstein-associated producers after #MeToo is less traditionally feminine. Overall, our findings suggest that #MeToo may have helped mitigate the frictions and biases that prevent female talent from exploring parts of the idea space that are typically associated with men and may have shaped the nature of female-oriented works."
LAURINA ZHANG,"Scandal, social movement, and change: evidence from #MeToo in Hollywood","Social movements have the potential to effect change in firm decision-making. In this paper, we examine whether the #MeToo movement, spurred by the Harvey Weinstein scandal, led to changes in the likelihood of Hollywood producers working with female writers on new movie projects. Since #MeToo affected the entire industry, we use variation in whether producers had past collaborations with Weinstein to investigate whether and how #MeToo may spur change. We find that producers previously associated with Weinstein are, on average, about 35-percent more likely to work with female writers after the scandal than they were before, relative to non-associated producers; and the size of this effect increases with the intensity of the association. Female producers are the main drivers of our results, which may be because they are more likely than male producers to be sympathetic to the movement’s cause and face relatively low costs of enacting change. Changes made by other groups, such as production teams with the most intense association with Weinstein and less-experienced all-male teams, may be better explained by motivations to mitigate risk or guilt. We also find that producers do not sacrifice writer experience by hiring more female writers and that both experienced and novice female writers have benefited from the increased demand. Our study shows that social movements that seek to address gender inequality can, indeed, lead to meaningful change. It also provides perspective for thinking about whether, and to what extent, changes may occur in broader settings."
DAVID GUZMAN,"Caribbean Corals in Crisis: Record Thermal Stress, Bleaching, and Mortality in 2005","BACKGROUND. The rising temperature of the world's oceans has become a major threat to coral reefs globally as the severity and frequency of mass coral bleaching and mortality events increase. In 2005, high ocean temperatures in the tropical Atlantic and Caribbean resulted in the most severe bleaching event ever recorded in the basin. METHODOLOGY/PRINCIPAL FINDINGS. Satellite-based tools provided warnings for coral reef managers and scientists, guiding both the timing and location of researchers' field observations as anomalously warm conditions developed and spread across the greater Caribbean region from June to October 2005. Field surveys of bleaching and mortality exceeded prior efforts in detail and extent, and provided a new standard for documenting the effects of bleaching and for testing nowcast and forecast products. Collaborators from 22 countries undertook the most comprehensive documentation of basin-scale bleaching to date and found that over 80% of corals bleached and over 40% died at many sites. The most severe bleaching coincided with waters nearest a western Atlantic warm pool that was centered off the northern end of the Lesser Antilles. CONCLUSIONS/SIGNIFICANCE. Thermal stress during the 2005 event exceeded any observed from the Caribbean in the prior 20 years, and regionally-averaged temperatures were the warmest in over 150 years. Comparison of satellite data against field surveys demonstrated a significant predictive relationship between accumulated heat stress (measured using NOAA Coral Reef Watch's Degree Heating Weeks) and bleaching intensity. This severe, widespread bleaching and mortality will undoubtedly have long-term consequences for reef ecosystems and suggests a troubled future for tropical marine ecosystems under a warming climate."
