Author,Title,Abstract
LAWRENCE WERE,Health insurance for HIV prevention & treatment: predictors of health insurance enrollment among HIV+ women in Kenya,"Background: The global push to achieve the 90-90-90 targets designed to end the HIV epidemic has called for the removing of policy barriers to prevention and treatment, and ensuring financial sustainability of HIV programs. Universal health insurance is one tool that can be used to this end. In sub-Saharan Africa, where HIV prevalence and incidence remain high, the use of health insurance to provide comprehensive HIV care is limited. This study looked at the factors that best predict social health insurance enrollment among HIV positive pregnant women using data from the Academic Model Providing Access to Healthcare (AMPATH) in western Kenya. Methods: Cross-sectional clinical encounter data were extracted from the electronic medical records (EMR) at AMPATH. We used univariate and multivariate logistic regressions to estimate the predictors of health insurance enrollment among HIV positive pregnant women. The analysis was further stratified by HIV disease severity (based on CD4 cell count <350 and 350>) to test the possibility of differential enrollment given HIV disease state. Results: Approximately 7% of HIV infected women delivering at a healthcare facility had health insurance. HIV positive pregnant women who deliver at a health facility had twice the odds of enrolling in insurance [2.46 Adjusted Odds Ratio (AOR), Confidence Interval (CI) 1.24-4.87]. They were 10 times more likely to have insurance if they were lost to follow-up to HIV care during pregnancy [9.90 AOR; CI 3.42-28.67], and three times more likely to enroll if they sought care at an urban clinic [2.50 AOR; 95% CI 1.53-4.12]. Being on HIV treatment was negatively associated with health insurance enrollment [0.22 AOR; CI 0.10-0.49]. Stratifying the analysis by HIV disease severity while statistically significant did not change these results. Conclusions: The findings indicated that health insurance enrollment among HIV positive pregnant women was low mirroring national levels. Additionally, structural factors, such as access to institutional delivery and location of healthcare facilities, increased the likelihood of health insurance enrollment within this population. However, behavioral aspects, such as being lost to follow-up to HIV care during pregnancy and being on HIV treatment, had an ambiguous effect on insurance enrollment. This may potentially be because of adverse selection and information asymmetries. Further understanding of the relationship between insurance and HIV is needed if health insurance is to be utilized for HIV treatment and prevention in limited resource settings."
LAWRENCE WERE,Characterizing the spatial determinants and prevention of malaria in Kenya,"The United Nations' Sustainable Development Goal 3 is to ensure health and well-being for all at all ages with a specific target to end malaria by 2030. Aligned with this goal, the primary objective of this study is to determine the effectiveness of utilizing local spatial variations to uncover the statistical relationships between malaria incidence rate and environmental and behavioral factors across the counties of Kenya. Two data sources are used-Kenya Demographic and Health Surveys of 2000, 2005, 2010, and 2015, and the national Malaria Indicator Survey of 2015. The spatial analysis shows clustering of counties with high malaria incidence rate, or hot spots, in the Lake Victoria region and the east coastal area around Mombasa; there are significant clusters of counties with low incidence rate, or cold spot areas in Nairobi. We apply an analysis technique, geographically weighted regression, that helps to better model how environmental and social determinants are related to malaria incidence rate while accounting for the confounding effects of spatial non-stationarity. Some general patterns persist over the four years of observation. We establish that variables including rainfall, proximity to water, vegetation, and population density, show differential impacts on the incidence of malaria in Kenya. The El-Nino-southern oscillation (ENSO) event in 2015 was significant in driving up malaria in the southern region of Lake Victoria compared with prior time-periods. The applied spatial multivariate clustering analysis indicates the significance of social and behavioral survey responses. This study can help build a better spatially explicit predictive model for malaria in Kenya capturing the role and spatial distribution of environmental, social, behavioral, and other characteristics of the households."
LAWRENCE WERE,The informal sector and universal health coverage: crucial considerations,
CHRISTIAN ANTHONY GARCIA,First M87 Event Horizon Telescope results. I. The shadow of the supermassive black hole,"When surrounded by a transparent emission region, black holes are expected to reveal a dark shadow caused by gravitational light bending and photon capture at the event horizon. To image and study this phenomenon, we have assembled the Event Horizon Telescope, a global very long baseline interferometry array observing at a wavelength of 1.3 mm. This allows us to reconstruct event-horizon-scale images of the supermassive black hole candidate in the center of the giant elliptical galaxy M87. We have resolved the central compact radio source as an asymmetric bright emission ring with a diameter of 42 ± 3 μas, which is circular and encompasses a central depression in brightness with a flux ratio gsim10:1. The emission ring is recovered using different calibration and imaging schemes, with its diameter and width remaining stable over four different observations carried out in different days. Overall, the observed image is consistent with expectations for the shadow of a Kerr black hole as predicted by general relativity. The asymmetry in brightness in the ring can be explained in terms of relativistic beaming of the emission from a plasma rotating close to the speed of light around a black hole. We compare our images to an extensive library of ray-traced general-relativistic magnetohydrodynamic simulations of black holes and derive a central mass of M = (6.5 ± 0.7) × 10^9 M ⊙. Our radio-wave observations thus provide powerful evidence for the presence of supermassive black holes in centers of galaxies and as the central engines of active galactic nuclei. They also present a new tool to explore gravity in its most extreme limit and on a mass scale that was so far not accessible."
CHRISTIAN ANTHONY GARCIA,First Sagittarius A* Event Horizon Telescope results. I. The shadow of the supermassive black hole in the center of the Milky Way,"We present the first Event Horizon Telescope (EHT) observations of Sagittarius A* (Sgr A*), the Galactic center source associated with a supermassive black hole. These observations were conducted in 2017 using a global interferometric array of eight telescopes operating at a wavelength of λ = 1.3 mm. The EHT data resolve a compact emission region with intrahour variability. A variety of imaging and modeling analyses all support an image that is dominated by a bright, thick ring with a diameter of 51.8 ± 2.3 μas (68% credible interval). The ring has modest azimuthal brightness asymmetry and a comparatively dim interior. Using a large suite of numerical simulations, we demonstrate that the EHT images of Sgr A* are consistent with the expected appearance of a Kerr black hole with mass ∼4 × 106 M ⊙, which is inferred to exist at this location based on previous infrared observations of individual stellar orbits, as well as maser proper-motion studies. Our model comparisons disfavor scenarios where the black hole is viewed at high inclination (i &gt; 50°), as well as nonspinning black holes and those with retrograde accretion disks. Our results provide direct evidence for the presence of a supermassive black hole at the center of the Milky Way, and for the first time we connect the predictions from dynamical measurements of stellar orbits on scales of 103–105 gravitational radii to event-horizon-scale images and variability. Furthermore, a comparison with the EHT results for the supermassive black hole M87* shows consistency with the predictions of general relativity spanning over three orders of magnitude in central mass."
MARY WILLIS,"The medical student: v. 5, no. 1-8",
XIAOZHOU RUAN,"Diapycnal displacement, diffusion, and distortion of tracers in the ocean","Small-scale mixing drives the diabatic upwelling that closes the abyssal ocean overturning circulation. Indirect microstructure measurements of in-situ turbulence suggest that mixing is bottom-enhanced over rough topography, implying downwelling in the interior and stronger upwelling in a sloping bottom boundary layer. Tracer Release Experiments (TREs), in which inert tracers are purposefully released and their dispersion is surveyed over time, have been used to independently infer turbulent diffusivities—but typically provide estimates in excess of microstructure ones. In an attempt to reconcile these differences, Ruan and Ferrari (2021) derived exact tracer-weighted buoyancy moment diagnostics, which we here apply to quasi-realistic simulations. A tracer’s diapycnal displacement rate is exactly twice the tracer-averaged buoyancy velocity, itself a convolution of an asymmetric upwelling/downwelling dipole. The tracer’s diapycnal spreading rate, however, involves both the expected positive contribution from the tracer-averaged in-situ diffusion as well as an additional non-linear diapycnal distortion term, which is caused by correlations between buoyancy and the buoyancy velocity, and can be of either sign. Distortion is generally positive (stretching) due to bottom-enhanced mixing in the stratified interior but negative (contraction) near the bottom. Our simulations suggest that these two effects coincidentally cancel for the Brazil Basin Tracer Release Experiment, resulting in negligible net distortion. By contrast, near-bottom tracers experience leading-order distortion that varies in time. Errors in tracer moments due to realistically sparse sampling are generally small (&lt; 20%), especially compared to the O(1) structural errors due to the omission of distortion effects in inverse models. These results suggest that TREs, although indispensable, should not be treated as “unambiguous” constraints on diapycnal mixing."
XIAOZHOU RUAN,Dynamics of eddying abyssal mixing layers over sloping rough topography,"The abyssal overturning circulation is thought to be primarily driven by small-scale turbulent mixing. Diagnosed watermass transformations are dominated by rough topography “hotspots”, where the bottom-enhancement of mixing causes the diffusive buoyancy flux to diverge, driving widespread downwelling in the interior—only to be overwhelmed by an even stronger up-welling in a thin Bottom Boundary Layer (BBL). These watermass transformations are significantly underestimated by one-dimensional (1D) sloping boundary layer solutions, suggesting the importance of three-dimensional physics. Here, we use a hierarchy of models to generalize this 1D boundary layer approach to three-dimensional eddying flows over realistically rough topography. When applied to the Mid-Atlantic Ridge in the Brazil Basin, the idealized simulation results are roughly consistent with available observations. Integral buoyancy budgets isolate the physical processes that contribute to realistically strong BBL upwelling. The downwards diffusion of buoyancy is primarily balanced by upwelling along the sloping canyon sidewalls and the surrounding abyssal hills. These flows are strengthened by the restratifying effects of submesoscale baroclinic eddies and by the blocking of along-ridge thermal wind within the canyon. Major topographic sills block along-thalweg flows from restratifying the canyon trough, resulting in the continual erosion of the trough’s stratification. We propose simple modifications to the 1D boundary layer model which approximate each of these three-dimensional effects. These results provide local dynamical insights into mixing-driven abyssal overturning, but a complete theory will also require the non-local coupling to the basin-scale circulation."
JESSICA L FETTERMAN,A systematic review on the biochemical threshold of mitochondrial genetic variants,"Mitochondrial DNA (mtDNA) variants cause a range of diseases from severe pediatric syndromes to aging-related conditions. The percentage of mtDNA copies carrying a pathogenic variant, variant allele frequency (VAF), must reach a threshold before a biochemical defect occurs, termed the biochemical threshold. Whether the often-cited biochemical threshold of >60% VAF is similar across mtDNA variants and cell types is unclear. In our systematic review, we sought to identify the biochemical threshold of mtDNA variants in relation to VAF by human tissue/cell type. We used controlled vocabulary terms to identify articles measuring oxidative phosphorylation (OXPHOS) complex activities in relation to VAF. We identified 76 eligible publications, describing 69, 12, 16, and 49 cases for complexes I, III, IV, and V, respectively. Few studies evaluated OXPHOS activities in diverse tissue types, likely reflective of clinical access. A number of cases with similar VAFs for the same pathogenic variant had varying degrees of residual activity of the affected complex, alluding to the presence of modifying variants. Tissues and cells with VAFs <60% associated with low complex activities were described, suggesting the possibility of a biochemical threshold of <60%. Using Kendall rank correlation tests, the VAF of the m.8993T > G variant correlated with complex V activity in skeletal muscle (τ = -0.58, P = 0.01, n = 13); however, no correlation was observed in fibroblasts (P = 0.7, n = 9). Our systematic review highlights the need to investigate the biochemical threshold over a wider range of VAFs in disease-relevant cell types to better define the biochemical threshold for specific mtDNA variants."
ANDREW BACHER-HICKS,Two years later: how COVID-19 has shaped the teacher workforce,"The unprecedented challenges of teaching during COVID-19 prompted fears of a mass exodus from the profession. We examine the extent to which these fears were realized using administrative records of Massachusetts teachers between 2015–2016 and 2021–2022. Relative to prepandemic levels, average turnover rates were similar going into the fall of 2020 but increased by 17% (from 15.0% to 17.5%) going into the fall of 2021. The fall 2021 increases were particularly high among newly hired teachers (31% increase) but were lower among Black and Hispanic/Latinx teachers (5% increases among both groups). Gaps in turnover rates between schools serving higher and lower concentrations of economically disadvantaged students narrowed during the first 18 months of the pandemic. The same holds true for gaps in turnover between schools serving higher and lower shares of Black and Hispanic/Latinx students. Together, these findings highlight important differences in teachers’ responses to the pandemic across subgroups and the need to improve early-career retention to ensure long-term stability within the teacher workforce."
